product_category_name,order_purchase_timestamp,price,total_price
agro_industria_e_comercio,212,410.0,86920.0
alimentos,510,27.9,14229.0
alimentos_bebidas,278,58.32,16212.960000000001
artes,209,110.99,23196.91
artes_e_artesanato,24,9.8,235.20000000000002
artigos_de_festas,43,257.6,11076.800000000001
artigos_de_natal,153,35.0,5355.0
audio,364,89.0,32396.0
automotivo,4234,159.9,677016.6
bebes,3064,129.99,398289.36000000004
bebidas,379,35.0,13265.0
beleza_saude,9670,109.9,1062733.0
brinquedos,4116,38.25,157437.0
cama_mesa_banho,11114,19.9,221168.59999999998
casa_conforto,434,159.99,69435.66
casa_conforto_2,30,12.9,387.0
casa_construcao,604,217.85,131581.4
cds_dvds_musicais,14,45.0,630.0
cine_foto,72,59.0,4248.0
climatizacao,297,186.9,55509.3
consoles_games,1137,320.0,363840.0
construcao_ferramentas_construcao,929,1299.0,1206771.0
construcao_ferramentas_ferramentas,103,34.9,3594.7
construcao_ferramentas_iluminacao,304,45.0,13680.0
construcao_ferramentas_jardim,238,47.99,11421.62
construcao_ferramentas_seguranca,193,65.0,12545.0
cool_stuff,3793,109.9,416850.7
dvds_blu_ray,64,83.99,5375.36
eletrodomesticos,771,99.9,77022.90000000001
eletrodomesticos_2,238,1148.0,273224.0
eletronicos,2767,9.5,26286.5
eletroportateis,678,53.44,36232.32
esporte_lazer,8638,69.9,603796.2000000001
fashion_bolsas_e_acessorios,2031,29.99,60909.689999999995
fashion_calcados,262,84.9,22243.800000000003
fashion_esporte,30,49.9,1497.0
fashion_roupa_feminina,48,93.9,4507.200000000001
fashion_roupa_infanto_juvenil,8,49.9,399.2
fashion_roupa_masculina,132,29.99,3958.68
fashion_underwear_e_moda_praia,131,49.9,6536.9
ferramentas_jardim,4346,99.0,430254.0
flores,33,49.9,1646.7
fraldas_higiene,39,25.0,975.0
industria_comercio_e_negocios,267,102.0,27234.0
informatica_acessorios,7826,98.0,766948.0
instrumentos_musicais,680,59.9,40732.0
la_cuisine,14,140.0,1960.0
livros_importados,60,77.0,4620.0
livros_interesse_geral,552,115.0,63480.0
livros_tecnicos,267,93.99,25095.329999999998
malas_acessorios,1092,199.0,217308.0
market_place,311,62.8,19530.8
moveis_colchao_e_estofado,38,110.0,4180.0
moveis_cozinha_area_de_servico_jantar_e_jardim,281,56.9,15988.9
moveis_decoracao,8330,19.9,165767.0
moveis_escritorio,1691,149.99,253633.09000000003
moveis_quarto,109,9.9,1079.1000000000001
moveis_sala,503,13.9,6991.7
musica,38,220.0,8360.0
papelaria,2517,19.9,50088.299999999996
pc_gamer,9,129.99,1169.91
pcs,203,1437.0,291711.0
perfumaria,3419,118.7,405835.3
pet_shop,1947,45.0,87615.0
portateis_casa_forno_e_cafe,76,1799.0,136724.0
portateis_cozinha_e_preparadores_de_alimentos,15,102.9,1543.5
relogios_presentes,5989,178.99,1071971.11
seguros_e_servicos,2,183.29,366.58
sinalizacao_e_seguranca,199,19.9,3960.1
tablets_impressao_imagem,83,69.9,5801.700000000001
telefonia,4543,27.99,127158.56999999999
telefonia_fixa,264,34.99,9237.36
utilidades_domesticas,6964,29.99,208850.36
