,geolocation_state,customer_type,value
0,AM,expected_customers,72.94886363636364
1,AC,expected_customers,72.94886363636364
2,RO,expected_customers,145.89772727272728
3,RN,expected_customers,364.7443181818182
4,SE,expected_customers,145.89772727272728
5,PI,expected_customers,72.94886363636364
6,PB,expected_customers,437.69318181818187
7,MA,expected_customers,72.94886363636364
8,CE,expected_customers,948.3352272727274
9,MS,expected_customers,364.7443181818182
10,DF,expected_customers,2115.5170454545455
11,PE,expected_customers,656.5397727272727
12,MT,expected_customers,291.79545454545456
13,GO,expected_customers,2917.9545454545455
14,ES,expected_customers,1750.7727272727275
15,BA,expected_customers,1458.9772727272727
16,SC,expected_customers,14370.926136363638
17,PR,expected_customers,26188.642045454548
18,RS,expected_customers,9556.301136363636
19,RJ,expected_customers,12839.0
20,MG,expected_customers,18164.267045454548
21,SP,expected_customers,132329.23863636365
22,AM,total_customers,148.0
23,AC,total_customers,120.0
24,RO,total_customers,256.0
25,RN,total_customers,483.0
26,SE,total_customers,349.0
27,PI,total_customers,492.0
28,PB,total_customers,534.0
29,MA,total_customers,743.0
30,CE,total_customers,1332.0
31,MS,total_customers,715.0
32,DF,total_customers,1974.0
33,PE,total_customers,1648.0
34,MT,total_customers,905.0
35,GO,total_customers,2011.0
36,ES,total_customers,2027.0
37,BA,total_customers,3371.0
38,SC,total_customers,3651.0
39,PR,total_customers,5033.0
40,RS,total_customers,5473.0
41,RJ,total_customers,12839.0
42,MG,total_customers,11624.0
43,SP,total_customers,41731.0
