product_category_name,order_purchase_timestamp,order_quantity
alimentos,2016-10-10,1
alimentos,2017-01-27,1
alimentos,2017-01-29,1
alimentos,2017-02-01,1
alimentos,2017-02-07,1
alimentos,2017-02-08,1
alimentos,2017-02-16,2
alimentos,2017-02-17,1
alimentos,2017-02-19,1
alimentos,2017-02-22,1
alimentos,2017-02-25,1
alimentos,2017-03-02,1
alimentos,2017-03-06,1
alimentos,2017-03-07,1
alimentos,2017-03-08,2
alimentos,2017-03-12,2
alimentos,2017-03-13,1
alimentos,2017-03-15,4
alimentos,2017-03-16,2
alimentos,2017-03-18,1
alimentos,2017-03-19,2
alimentos,2017-03-21,2
alimentos,2017-03-28,3
alimentos,2017-03-31,2
alimentos,2017-04-02,1
alimentos,2017-04-04,1
alimentos,2017-04-06,1
alimentos,2017-04-08,2
alimentos,2017-04-13,1
alimentos,2017-04-16,1
alimentos,2017-04-19,1
alimentos,2017-05-03,1
alimentos,2017-05-15,1
alimentos,2017-05-16,1
alimentos,2017-06-16,1
alimentos,2017-07-04,1
alimentos,2017-07-14,1
alimentos,2017-07-17,2
alimentos,2017-07-24,2
alimentos,2017-07-25,1
alimentos,2017-08-01,1
alimentos,2017-08-06,1
alimentos,2017-08-08,1
alimentos,2017-08-09,1
alimentos,2017-08-20,1
alimentos,2017-08-24,1
alimentos,2017-08-26,1
alimentos,2017-08-27,1
alimentos,2017-09-08,1
alimentos,2017-09-12,2
alimentos,2017-09-13,1
alimentos,2017-09-17,4
alimentos,2017-09-18,1
alimentos,2017-09-20,1
alimentos,2017-09-21,1
alimentos,2017-09-22,1
alimentos,2017-09-23,3
alimentos,2017-09-27,1
alimentos,2017-09-30,1
alimentos,2017-10-01,2
alimentos,2017-10-04,1
alimentos,2017-10-06,2
alimentos,2017-10-07,1
alimentos,2017-10-08,1
alimentos,2017-10-10,1
alimentos,2017-10-18,1
alimentos,2017-10-24,6
alimentos,2017-10-27,1
alimentos,2017-10-30,1
alimentos,2017-11-07,1
alimentos,2017-11-09,3
alimentos,2017-11-12,1
alimentos,2017-11-17,1
alimentos,2017-11-22,1
alimentos,2017-11-23,4
alimentos,2017-11-24,3
alimentos,2017-11-29,2
alimentos,2017-11-30,1
alimentos,2017-12-03,1
alimentos,2017-12-04,1
alimentos,2017-12-05,1
alimentos,2017-12-06,1
alimentos,2017-12-10,1
alimentos,2017-12-12,1
alimentos,2017-12-19,1
alimentos,2017-12-22,1
alimentos,2017-12-23,1
alimentos,2017-12-25,3
alimentos,2017-12-26,1
alimentos,2017-12-29,1
alimentos,2018-01-03,1
alimentos,2018-01-07,2
alimentos,2018-01-11,2
alimentos,2018-01-12,2
alimentos,2018-01-15,1
alimentos,2018-01-19,1
alimentos,2018-01-21,1
alimentos,2018-01-22,1
alimentos,2018-01-23,2
alimentos,2018-01-24,3
alimentos,2018-01-25,1
alimentos,2018-01-26,1
alimentos,2018-01-27,1
alimentos,2018-01-30,1
alimentos,2018-02-01,4
